t,T ,h,s
0,273.16,273.2,6.6081
1,274.16,274.2,6.6116
2,275.16,275.2,6.6151
3,276.16,276.2,6.6186
4,277.16,277.2,6.6221
5,278.16,278.2,6.6256
6,279.16,279.2,6.6291
7,280.16,280.2,6.6326
8,281.16,281.2,6.6361
9,282.16,282.2,6.6396
10,283.16,283.3,6.6431
11,284.16,284.3,6.6466
12,285.16,285.3,6.6501
13,286.16,286.3,6.6536
14,287.16,287.3,6.6571
15,288.16,288.3,6.6606
16,289.16,289.3,6.6643
17,290.16,290.3,6.6678
18,291.16,291.3,6.6713
19,292.16,292.3,6.6749
20,293.16,293.3,6.6784
21,294.16,294.3,6.6819
22,295.16,295.3,6.6854
23,296.16,296.3,6.6889
24,297.16,297.3,6.6924
25,298.16,298.3,6.6959
26,299.16,299.3,6.699425
27,300.16,300.3,6.702933333
28,301.16,301.3,6.706441667
29,302.16,302.3,6.70995
30,303.16,303.3,6.713458333
31,304.16,304.3,6.7153
32,305.16,305.3,6.7186
33,306.16,306.3,6.7218
34,307.16,307.3,6.725
35,308.16,308.3,6.7283
36,309.16,309.4,6.7315
37,310.16,310.4,6.7437
38,311.16,311.4,6.738
39,312.16,312.4,6.7412
40,313.16,313.4,6.7444
41,314.16,314.4,6.7477
42,315.16,315.4,6.7509
43,316.16,316.4,6.7542
44,317.16,317.4,6.7574
45,318.16,318.4,6.7606
46,319.16,319.4,6.763871429
47,320.16,320.4,6.767110714
48,321.16,321.4,6.77035
49,322.16,322.4,6.773589286
50,323.16,323.4,6.776828571
51,324.16,324.4,6.7799
52,325.16,325.4,6.7829
53,326.16,326.4,6.7859
54,327.16,327.4,6.7889
55,328.16,328.5,6.7919
56,329.16,329.5,6.7949
57,330.16,330.5,6.7979
58,331.16,331.5,6.8009
59,332.16,332.5,6.8039
60,333.16,333.5,6.8069
61,334.16,334.5,6.8099
62,335.16,335.5,6.8129
63,336.16,336.5,6.8159
64,337.16,337.5,6.8189
65,338.16,338.5,6.8219
66,339.16,339.5,6.8249
67,340.16,340.5,6.8279
68,341.16,341.5,6.8309
69,342.16,342.5,6.8339
70,343.16,343.6,6.8369
71,344.16,344.6,6.8399
72,345.16,345.6,6.8429
73,346.16,346.6,6.8459
74,347.16,347.6,6.8489
75,348.16,348.6,6.8519
76,349.16,349.6,6.8547
77,350.16,350.6,6.8575
78,351.16,351.6,6.8603
79,352.16,352.6,6.8631
80,353.16,353.6,6.8659
81,354.16,354.6,6.8687
82,355.16,355.6,6.8715
83,356.16,356.6,6.8743
84,357.16,357.7,6.8771
85,358.16,358.7,6.8799
86,359.16,359.7,6.8827
87,360.16,360.7,6.8855
88,361.16,361.7,6.8883
89,362.16,362.7,6.8911
90,363.16,363.7,6.8939
91,364.16,364.7,6.8966
92,365.16,365.7,6.8994
93,366.16,366.7,6.9022
94,367.16,367.7,6.905
95,368.16,368.7,6.9078
96,369.16,369.8,6.910566667
97,370.16,370.8,6.913352381
98,371.16,371.8,6.916138095
99,372.16,372.8,6.91892381
100,373.16,373.8,6.921709524
101,374.16,374.8,6.9244
102,375.16,375.8,6.927
103,376.16,376.8,6.9297
104,377.16,377.8,6.9323
105,378.16,378.8,6.9349
106,379.16,379.9,6.93755
107,380.16,380.9,6.94018
108,381.16,381.9,6.94281
109,382.16,382.9,6.94544
110,383.16,383.9,6.94807
111,384.16,384.9,6.9507
112,385.16,385.9,6.95333
113,386.16,386.9,6.95596
114,387.16,387.9,6.95859
115,388.16,388.9,6.96122
116,389.16,389.9,6.96385
117,390.16,390.9,6.96648
118,391.16,392,6.96911
119,392.16,393,6.97174
120,393.16,394,6.97437
121,394.16,395,6.977
122,395.16,396,6.97963
123,396.16,397.1,6.98226
124,397.16,398.1,6.98489
125,398.16,399.1,6.98752
126,399.16,400.1,6.9898
127,400.16,401.1,6.9922
128,401.16,402.1,6.9947
129,402.16,403.1,6.9972
130,403.16,404.1,6.9996
131,404.16,405.2,7.00208
132,405.16,406.2,7.00454
133,406.16,407.2,7.007
134,407.16,408.2,7.00946
135,408.16,409.2,7.01192
136,409.16,410.2,7.01438
137,410.16,411.2,7.01684
138,411.16,412.2,7.0193
139,412.16,413.3,7.02176
140,413.16,414.3,7.02422
141,414.16,415.3,7.02668
142,415.16,416.3,7.02914
143,416.16,417.3,7.0316
144,417.16,418.3,7.03406
145,418.16,419.3,7.03652
146,419.16,420.4,7.03898
147,420.16,421.4,7.04144
148,421.16,422.4,7.0439
149,422.16,423.4,7.04636
150,423.16,424.4,7.04882
151,424.16,425.4,7.05128
152,425.16,426.4,7.05374
153,426.16,427.5,7.0562
154,427.16,428.5,7.05866
155,428.16,429.5,7.06112
156,429.16,430.5,7.06358
157,430.16,431.5,7.06604
158,431.16,432.6,7.0685
159,432.16,433.6,7.07096
160,433.16,434.6,7.07342
161,434.16,435.6,7.0748
162,435.16,436.6,7.0771
163,436.16,437.6,7.0795
164,437.16,438.7,7.0818
165,438.16,439.7,7.0842
166,439.16,440.7,7.08653
167,440.16,441.7,7.08888
168,441.16,442.7,7.09123
169,442.16,443.7,7.09358
170,443.16,444.8,7.09593
171,444.16,445.8,7.09828
172,445.16,446.8,7.10063
173,446.16,447.8,7.10298
174,447.16,448.8,7.10533
175,448.16,449.9,7.10768
176,449.16,450.9,7.11003
177,450.16,451.9,7.11238
178,451.16,452.9,7.11473
179,452.16,453.9,7.11708
180,453.16,454.9,7.11943
181,454.16,456,7.1209
182,455.16,457,7.1231
183,456.16,458,7.1233
184,457.16,459.1,7.1276
185,458.16,460.1,7.1298
186,459.16,461.1,7.132
187,460.16,462.1,7.1342
188,461.16,463.1,7.1364
189,462.16,464.2,7.1386
190,463.16,465.2,7.1409
191,464.16,466.2,7.1431
192,465.16,467.2,7.1453
193,466.16,468.3,7.1475
194,467.16,469.3,7.1497
195,468.16,470.3,7.1519
196,469.16,471.3,7.1541
197,470.16,472.3,7.1563
198,471.16,473.4,7.1585
199,472.16,474.4,7.1607
200,473.16,475.4,7.1629
201,474.16,476.4,
202,475.16,477.5,
203,476.16,478.5,
204,477.16,479.5,
205,478.16,480.5,
206,479.16,481.6,
207,480.16,482.6,
208,481.16,483.6,
209,482.16,484.6,
210,483.16,485.7,
211,484.16,486.7,
212,485.16,487.7,
213,486.16,488.7,
214,487.16,489.8,
215,488.16,490.8,
216,489.16,491.8,
217,490.16,492.9,
218,491.16,493.9,
219,492.16,494.9,
220,493.16,495.9,
221,494.16,496.9,
222,495.16,498,
223,496.16,499,
224,497.16,500,
225,498.16,501.1,
226,499.16,502.1,
227,500.16,503.1,
228,501.16,504.2,
229,502.16,505.2,
230,503.16,506.2,
231,504.16,507.3,
232,505.16,508.3,
233,506.16,509.3,
234,507.16,510.4,
235,508.16,511.4,
236,509.16,512.4,
237,510.16,513.4,
238,511.16,514.5,
239,512.16,515.5,
240,513.16,516.5,
241,514.16,517.6,
242,515.16,518.6,
